Country,Sex,Year,Age_group,Mean_height,Mean_height_lower_95%CI,Mean_height_upper_95%CI,Mean_height_standard_error
Canada,Boys,1985,5,111.5335891,109.5862725,113.4953641,0.991088173
Canada,Boys,1985,6,118.203692,116.4799319,119.917228,0.867314623
Canada,Boys,1985,7,124.3810896,122.811969,125.9188568,0.796695038
Canada,Boys,1985,8,130.2015298,128.7046717,131.6339786,0.752826083
Canada,Boys,1985,9,135.7929619,134.3601968,137.1793673,0.722405158
Canada,Boys,1985,10,141.2832205,139.8831866,142.6546804,0.699183309
Canada,Boys,1985,11,146.8704883,145.522071,148.1756619,0.682062267
Canada,Boys,1985,12,153.0873037,151.7391254,154.3913467,0.671225824
Canada,Boys,1985,13,160.1552733,158.8629437,161.4316876,0.662388468
Canada,Boys,1985,14,166.710808,165.4415069,167.969018,0.651417395
Canada,Boys,1985,15,171.3500958,170.0957648,172.6086836,0.645741422
Canada,Boys,1985,16,174.2367268,172.9446349,175.5287684,0.654704687
Canada,Boys,1985,17,175.8427183,174.4751157,177.1990966,0.690720107
Canada,Boys,1985,18,176.4371061,174.942365,177.8859387,0.740780611
Canada,Boys,1985,19,176.6666387,174.9937008,178.2929749,0.83302297
Canada,Boys,1986,5,111.6210072,109.6312145,113.6026241,1.008259427
Canada,Boys,1986,6,118.2902799,116.526722,120.0358939,0.890236574
Canada,Boys,1986,7,124.4603125,122.8596912,126.0718266,0.821154937
Canada,Boys,1986,8,130.2670745,128.715699,131.7535702,0.779099912
Canada,Boys,1986,9,135.8463138,134.3664244,137.2694408,0.747943093
Canada,Boys,1986,10,141.3259796,139.8918569,142.7172892,0.723273145
Canada,Boys,1986,11,146.9156869,145.482325,148.2820962,0.70537191
Canada,Boys,1986,12,153.1407394,151.7600069,154.4770549,0.693385757
Canada,Boys,1986,13,160.2155863,158.8552002,161.5349641,0.681488857
Canada,Boys,1986,14,166.7623563,165.4636847,168.0478887,0.668547374
Canada,Boys,1986,15,171.398801,170.116317,172.6824521,0.656460089
Canada,Boys,1986,16,174.2459501,172.9530305,175.5562111,0.658204086
Canada,Boys,1986,17,175.8111583,174.4575045,177.1444129,0.676725712
Canada,Boys,1986,18,176.3694695,174.9294498,177.7569204,0.700736294
Canada,Boys,1986,19,176.5852755,175.0344737,178.1003337,0.768355735
Canada,Boys,1987,5,111.7048515,109.6913173,113.694915,1.020994409
Canada,Boys,1987,6,118.377698,116.5920975,120.1623131,0.908396626
Canada,Boys,1987,7,124.5469004,122.9152967,126.2055774,0.843831321
Canada,Boys,1987,8,130.3462974,128.7594866,131.9086103,0.802146305
Canada,Boys,1987,9,135.9118585,134.3771944,137.3896136,0.772903004
Canada,Boys,1987,10,141.3793315,139.888476,142.8024722,0.747665666
Canada,Boys,1987,11,146.9584461,145.4927638,148.3669263,0.728781284
Canada,Boys,1987,12,153.1859381,151.7255954,154.5499747,0.716293996
Canada,Boys,1987,13,160.269022,158.8685888,161.6355519,0.703941052
Canada,Boys,1987,14,166.8226693,165.4622631,168.1521737,0.688153813
Canada,Boys,1987,15,171.4503493,170.1169435,172.7768866,0.673209621
Canada,Boys,1987,16,174.2946553,172.9597577,175.6082468,0.667134604
Canada,Boys,1987,17,175.8203816,174.4892595,177.1404246,0.675361388
Canada,Boys,1987,18,176.3379095,174.9533826,177.6675083,0.678434318
Canada,Boys,1987,19,176.5176389,175.0559025,177.9605755,0.726506954
Canada,Boys,1988,5,111.7682465,109.7515433,113.7967414,1.030883277
Canada,Boys,1988,6,118.4615424,116.6875919,120.2485698,0.921611876
Canada,Boys,1988,7,124.6343186,122.9811413,126.3137168,0.861586227
Canada,Boys,1988,8,130.4328854,128.8428973,132.0295407,0.8236111
Canada,Boys,1988,9,135.9910814,134.42585,137.5225905,0.794193795
Canada,Boys,1988,10,141.4448762,139.9054993,142.9078137,0.771160117
Canada,Boys,1988,11,147.011798,145.5166556,148.4318193,0.752000582
Canada,Boys,1988,12,153.2286972,151.7290747,154.6479628,0.738880993
Canada,Boys,1988,13,160.3142207,158.8563901,161.6922792,0.726158564
Canada,Boys,1988,14,166.876105,165.4651727,168.2622668,0.710105603
Canada,Boys,1988,15,171.5106623,170.1517785,172.8659284,0.69183937
Canada,Boys,1988,16,174.3462036,172.999077,175.6894383,0.681445829
Canada,Boys,1988,17,175.8690868,174.5319757,177.1988425,0.679770343
Canada,Boys,1988,18,176.3471328,174.9990779,177.6470367,0.668197528
Canada,Boys,1988,19,176.486079,175.0767044,177.8509394,0.701409233
Canada,Boys,1989,5,111.8196203,109.8100842,113.8627523,1.038476129
Canada,Boys,1989,6,118.5249373,116.7304817,120.3362228,0.931889626
Canada,Boys,1989,7,124.7181629,123.0344348,126.4051236,0.874198666
Canada,Boys,1989,8,130.5203035,128.8996947,132.1239847,0.840062236
Canada,Boys,1989,9,136.0776694,134.4773413,137.6380602,0.813985046
Canada,Boys,1989,10,141.5240992,139.9305646,143.0499674,0.790608939
Canada,Boys,1989,11,147.0773427,145.5301593,148.5513698,0.773838454
Canada,Boys,1989,12,153.2820491,151.7632283,154.7478748,0.760796227
Canada,Boys,1989,13,160.3569798,158.8351006,161.8129028,0.747774479
Canada,Boys,1989,14,166.9213037,165.4618856,168.319596,0.731062207
Canada,Boys,1989,15,171.564098,170.1577839,172.9417296,0.71199459
Canada,Boys,1989,16,174.4065165,173.0333174,175.7555623,0.697480016
Canada,Boys,1989,17,175.9206351,174.5675513,177.2621156,0.689174235
Canada,Boys,1989,18,176.395838,175.054528,177.6755324,0.664380429
Canada,Boys,1989,19,176.4953023,175.1173271,177.8301612,0.687355922
Canada,Boys,1990,5,111.8712847,109.8445049,113.9448317,1.041550543
Canada,Boys,1990,6,118.5763112,116.7786442,120.3918588,0.939583809
Canada,Boys,1990,7,124.7815578,123.0730132,126.4999944,0.883918672
Canada,Boys,1990,8,130.6041478,128.9834985,132.229445,0.851362756
Canada,Boys,1990,9,136.1650875,134.568592,137.7503122,0.828669733
Canada,Boys,1990,10,141.6106871,140.0037855,143.1729364,0.808536729
Canada,Boys,1990,11,147.1565656,145.5886156,148.6621637,0.791387119
Canada,Boys,1990,12,153.3475938,151.7717001,154.8626911,0.780782394
Canada,Boys,1990,13,160.4103317,158.8605285,161.9072648,0.768268383
Canada,Boys,1990,14,166.9640628,165.4554318,168.4256597,0.751174397
Canada,Boys,1990,15,171.6092967,170.1480229,173.0097392,0.730746328
Canada,Boys,1990,16,174.4599523,173.0542739,175.8456317,0.714449438
Canada,Boys,1990,17,175.9809481,174.6090892,177.3273861,0.700623835
Canada,Boys,1990,18,176.4473863,175.1126445,177.7182303,0.665113888
Canada,Boys,1990,19,176.5440075,175.1810815,177.8657764,0.679627548
Canada,Boys,1991,5,111.9290549,109.9143531,113.9674475,1.039543701
Canada,Boys,1991,6,118.6279755,116.8247533,120.4775014,0.942446583
Canada,Boys,1991,7,124.8329317,123.1261975,126.5467725,0.890949657
Canada,Boys,1991,8,130.6675428,129.0357355,132.3189466,0.859857354
Canada,Boys,1991,9,136.2489318,134.6329221,137.8416593,0.838264955
Canada,Boys,1991,10,141.6981052,140.0964283,143.2653246,0.821253967
Canada,Boys,1991,11,147.2431535,145.6340239,148.8071298,0.807325018
Canada,Boys,1991,12,153.4268167,151.8313536,154.956934,0.796309916
Canada,Boys,1991,13,160.4758764,158.8994833,162.0055244,0.786324498
Canada,Boys,1991,14,167.0174147,165.4721245,168.5016329,0.769894844
Canada,Boys,1991,15,171.6520558,170.1593578,173.1197966,0.748357936
Canada,Boys,1991,16,174.5051509,173.047497,175.9281686,0.729834626
Canada,Boys,1991,17,176.0343838,174.634012,177.40741,0.71277192
Canada,Boys,1991,18,176.5076993,175.1723152,177.7857438,0.668142439
Canada,Boys,1991,19,176.5955557,175.2478373,177.8949864,0.675805385
